time,zone_id,vib_mean_3h,vib_max_3h,rain_sum_3h,disp_trend_3h,slope_angle,bench_height,rock_type,x_center,y_center,risk
2025-01-01 03:00:00,Z1,0.2821128658466196,0.8892272632226681,210.02522762413633,1.8676231554153302,55,16,fractured,80,60,1
2025-01-01 03:00:00,Z2,0.2792131833410271,0.8871836155639732,210.02522762413633,1.1151630743295984,48,14,medium,240,60,1
2025-01-01 03:00:00,Z3,0.27804749563630526,0.856203763584596,210.02522762413633,0.4651415918719977,40,12,hard,400,60,1
2025-01-01 03:00:00,Z4,0.2826979889964018,0.8753458403192769,210.02522762413633,1.8070000609553238,52,15,fractured,80,200,1
2025-01-01 03:00:00,Z5,0.2776934216305126,0.8472260541349499,210.02522762413633,0.4158505930598585,35,10,hard,240,200,1
2025-01-01 04:00:00,Z1,0.2574723646219503,0.8870933614308438,253.23944052012322,0.33462923680039713,55,16,fractured,80,60,1
2025-01-01 04:00:00,Z2,0.25005155977716353,0.8871836155639732,253.23944052012322,0.43914672010349265,48,14,medium,240,60,1
2025-01-01 04:00:00,Z3,0.24820474760512062,0.8663462064376459,253.23944052012322,0.15117674293000805,40,12,hard,400,60,1
2025-01-01 04:00:00,Z4,0.2506137645708826,0.8753458403192769,253.23944052012322,0.3188598598825032,52,15,fractured,80,200,1
2025-01-01 04:00:00,Z5,0.2482242109136545,0.8421297569860055,253.23944052012322,0.14476455731855564,35,10,hard,240,200,1
2025-01-01 05:00:00,Z1,0.24237609075280656,0.7833928051243236,185.65257567563367,-0.9226728877968022,55,16,fractured,80,60,0
2025-01-01 05:00:00,Z2,0.23445117262252818,0.8393243802862798,185.65257567563367,-0.5308701643360572,48,14,medium,240,60,0
2025-01-01 05:00:00,Z3,0.23660031474332172,0.8663462064376459,185.65257567563367,-0.13322621402026513,40,12,hard,400,60,0
2025-01-01 05:00:00,Z4,0.23692661403775878,0.8121247806407752,185.65257567563367,-0.8396111731163463,52,15,fractured,80,200,0
2025-01-01 05:00:00,Z5,0.23471574420037722,0.7640681682533788,185.65257567563367,-0.15379375866585898,35,10,hard,240,200,0
2025-01-01 06:00:00,Z1,0.24857613918653543,0.8911226585133346,235.8941255529398,0.20857332163417164,55,16,fractured,80,60,1
2025-01-01 06:00:00,Z2,0.2454250282281812,0.8393243802862798,235.8941255529398,0.20408451627323498,48,14,medium,240,60,1
2025-01-01 06:00:00,Z3,0.2525509846489061,0.8663462064376459,235.8941255529398,0.10817368591684307,40,12,hard,400,60,1
2025-01-01 06:00:00,Z4,0.24526487139317438,0.8396243384284925,235.8941255529398,-0.014401446319682432,52,15,fractured,80,200,0
2025-01-01 06:00:00,Z5,0.24230151339631958,0.7706983199690562,235.8941255529398,1.7089583304930045e-05,35,10,hard,240,200,0
2025-01-01 07:00:00,Z1,0.31178557334654394,0.8911226585133346,175.92965655034493,1.2805697257986282,55,16,fractured,80,60,1
2025-01-01 07:00:00,Z2,0.31366689213589677,0.8296841153487127,175.92965655034493,0.8779521044008693,48,14,medium,240,60,1
2025-01-01 07:00:00,Z3,0.32003219672468647,0.832164946622108,175.92965655034493,0.3297394862951126,40,12,hard,400,60,1
